codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
APECO-270026,Copayapu,-27.456638,-70.26414,502,Tierra Amarilla,Atacama,2022-06-01 0:00
APECO-270029,Las Canteras,-27.742834,-70.18213,872,Tierra Amarilla,Atacama,2022-06-01 0:00
APECO-270030,Amalfi,-27.411203,-70.30263,421,Copiapó,Atacama,2022-06-01 0:00
APECO-270035,María Isabel,-27.335098,-70.78038,146,Tierra Amarilla,Atacama,2022-06-01 0:00
APECO-270070,Nantoco,-27.55176,-70.26957,649,Tierra Amarilla,Atacama,2022-06-01 0:00
APECO-270098,Altar de la Virgen,-27.99994,-69.98,1385,Tierra Amarilla,Atacama,2022-06-01 0:00
DMC-320055,Catemu,-32.75889,-70.94278,443,Catemu,Valparaíso,2022-07-03 3:00
MMA-330193,La Dormida,-33.04944,-71.00139,1450,Tiltil,Metropolitana,2022-09-15 11:00
MMA-350901,Escuela de Artillería,-35.83694,-71.59278,160,Linares,Maule,2022-01-01 0:00
DMC-380082,Aeródromo Isla Mocha,-38.38389,-73.86917,16,Lebu,Biobío,2022-11-01 0:00
MMA-400058,Liceo Agrotec,-40.31,-73.00389,60,La Unión,Los Ríos,2023-01-01 0:00
FDF-350100,Villa Alegre,-35.69611,-71.68222,127,Villa Alegre,Maule,2011-01-01 0:00
DMC-330081,Polpaico,-33.12389,-70.82805,547,Tiltil,Metropolitana,2022-07-03 0:00
DMC-390056,Aeródromo Pucón,-39.29111,-71.91694,264,Pucón,La Araucanía,2022-09-29 0:00
DMC-330163,Aeródromo Peldehue,-33.11389,-70.68583,683,Colina,Metropolitana,2020-01-01 0:00
ARAUCO-ICONST70,Santa Estela,-35.486856,-72.232686,239,Constitución,Maule,2023-05-01 0:00
ARAUCO-ITALCA18,Talca,-35.414716,-71.611857,115,Talca,Maule,2023-04-01 0:00
ARAUCO-IHUALA1,Hualañé,-34.983367,-71.781691,68,Hualañé,Maule,2023-05-01 0:00
ARAUCO-ILAUNI48,La Unión,-40.260285,-73.04889,76,La Unión,Los Ríos,2023-06-01 0:00
ARAUCO-ILOSLA10,Pancul,-39.848681,-72.819804,34,Los Lagos,Los Ríos,2023-06-01 0:00
ARAUCO-ICUREP4,Palhuen,-35.200259,-71.993045,255,Curepto,Maule,2023-06-01 0:00
ARAUCO-IVALDI66,Parque Oncol,-39.702653,-73.326053,255,Valdivia,Los Ríos,2023-06-02 0:00
ARAUCO-ITOM2,Conuco,-36.632154,-72.782132,208,Tomé,Biobío,2023-06-15 0:00
ARAUCO-IQUIRI17,Zorzal Blanco,-36.220606,-72.548486,266,Quirihue,Ñuble,2023-06-13 0:00
ARAUCO-ICURAN4,La Colcha,-37.424383,-73.352436,158,Curanilahue,Biobío,2023-06-18 0:00
ARAUCO-IEMPED2,Cuyuname,-35.68494,-72.159667,263,Empedrado,Maule,2023-06-15 0:00
ARAUCO-IPELAR1,El Auquil,-35.391303,-71.29552,262,Pelarco,Maule,2023-07-01 0:00
ARAUCO-ICONST77,Vivero Quivolgo,-35.306042,-72.384781,13,Constitución,Maule,2023-07-14 0:00
ARAUCO-ICOELE2,Totoral,-36.525887,-72.638553,47,Coelemu,Ñuble,2023-07-08 0:00
